seed,epoch,conflict_rate,update_conflict_rate,optimizer_skip_rate,raw_cosine_mean,raw_cosine_median,removed_ratio_mean,aux_norm_mean,projected_aux_norm_mean,projection_vector_mb
42,1,0.545,0.5445026178010471,0.045,0.00018378727221773057,-0.00017378248594465,4.094541072845222e-06,1.2378486959636212,1.237843425422907,9.555126953125
42,2,0.465,0.465,0.0,0.00047202502935306056,0.00014500423276324998,9.848177433013365e-06,1.0466987396776677,1.046688268482685,9.524912109375
42,3,0.41,0.41,0.0,0.001180952216948002,0.0006023086898494,9.450912475585131e-06,0.9586742740869522,0.9586652141809463,9.597392578125
42,4,0.365,0.365,0.0,0.001179367267375809,0.00115848466521125,9.652376174924845e-06,0.8671849372982979,0.8671750666201115,9.620654296875
42,5,0.45,0.45,0.0,0.001407081874940553,0.0004389716923469,6.192624568938607e-06,0.8436006113886834,0.8435951925814151,9.58498046875
42,6,0.445,0.445,0.0,0.0012054877898066145,0.00042389026202725,1.577883958816349e-05,0.8199395007640123,0.8199235477298498,9.484033203125
42,7,0.465,0.465,0.0,0.00045277195315065506,0.00024005983141245,1.2351572513578882e-05,0.8005124556273222,0.8005015037208796,9.509326171875
43,1,0.52,0.5235602094240838,0.045,0.0003472458784710871,-3.4308233807678334e-05,3.378689289092596e-06,1.542236726731062,1.5422313289344312,9.506611328125
43,2,0.45,0.45,0.0,0.0005614711535747472,0.00013419132301345,1.0184943675993672e-05,1.1581392714381218,1.1581263163685798,9.46197265625
43,3,0.47,0.47,0.0,0.0011505536148229123,0.00014738490426675,5.78075647354047e-06,0.9702356396615506,0.9702297891676426,9.53158203125
43,4,0.43,0.43,0.0,0.0005363111678889212,0.0005294696020427499,1.345932483672941e-05,0.8791890143603086,0.8791765778511763,9.5197265625
43,5,0.485,0.485,0.0,-0.00013363760342997491,7.198915591284491e-05,1.0358989238738242e-05,0.833107600286603,0.8330990829318762,9.55951171875
43,6,0.47,0.47,0.0,0.00035384342369524925,0.00028326478786765,9.885132312773862e-06,0.8455713029205799,0.8455633372068405,9.611240234375
43,7,0.55,0.55,0.0,-0.0006420402864011955,-0.00036094262031830004,1.612573862075519e-05,0.8196261227875948,0.8196116454899312,9.3921484375
44,1,0.5,0.5026178010471204,0.045,4.5807536491794156e-05,-9.54547431319952e-07,3.58104705810523e-06,2.2412346075475216,2.2412292817234993,9.45125
44,2,0.43,0.43,0.0,0.0009646859798971167,0.00013412769476415,2.2366642951961134e-06,1.182374740988016,1.1823726350069046,9.5612890625
44,3,0.455,0.455,0.0,0.00025675154045529184,0.00014417589409275,1.1688172817228995e-05,0.9400820592790842,0.9400693751126528,9.625888671875
44,4,0.49,0.49,0.0,8.906850951461317e-05,9.452574522580723e-05,1.144528388976925e-05,0.898107198625803,0.8980944547057151,9.617626953125
44,5,0.4,0.4,0.0,0.0008317577369723404,0.00058657911722545,8.643865585325885e-06,0.8479533826559782,0.8479463049024344,9.547705078125
44,6,0.485,0.485,0.0,0.0002279348259708081,0.00013179221423335001,9.895861148833179e-06,0.8165583956241608,0.8165489748120308,9.474501953125
44,7,0.475,0.475,0.0,-3.747088845557418e-05,8.546635581296869e-05,2.1564364433286675e-05,0.8389055138081312,0.8388776121288538,9.489560546875
